file_path,duration_sec,sample_rate,channels,sample_width_bytes,frame_count,peak_amplitude,rms_amplitude,crest_factor,silence_ratio,clipping_ratio,zero_crossing_rate,source_path,resolved_path
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0138.wav,4.56,16000,1,2,72960,0.558380126953125,0.1059100478887558,5.272211070470178,0.403125,0.0,0.12767444729231486,../raw_data/wavs/voice-0138.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0138.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0139.wav,9.84,16000,1,2,157440,0.655609130859375,0.10085460543632507,6.500537362900063,0.4521023882113821,0.0,0.1442717496935321,../raw_data/wavs/voice-0139.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0139.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0140.wav,8.88,16000,1,2,142080,0.663970947265625,0.10715389251708984,6.196423962477416,0.40392736486486486,0.0,0.12019369505697534,../raw_data/wavs/voice-0140.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0140.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0141.wav,7.84,16000,1,2,125440,0.50927734375,0.10450072586536407,4.873433553046696,0.42264030612244896,0.0,0.1306292301437352,../raw_data/wavs/voice-0141.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0141.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0142.wav,11.36,16000,1,2,181760,0.63092041015625,0.10128401964902878,6.229219696676009,0.4491692341549296,0.0,0.151244229996864,../raw_data/wavs/voice-0142.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0142.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0143.wav,7.52,16000,1,2,120320,0.567779541015625,0.10575945675373077,5.368593584380302,0.40118849734042555,0.0,0.12628096975540024,../raw_data/wavs/voice-0143.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0143.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0144.wav,8.32,16000,1,2,133120,0.682098388671875,0.1017962321639061,6.700625103428206,0.4443885216346154,0.0,0.12789308813918374,../raw_data/wavs/voice-0144.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0144.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0145.wav,12.88,16000,1,2,206080,0.560302734375,0.1056392565369606,5.30392538477364,0.4039353649068323,0.0,0.14176602176835099,../raw_data/wavs/voice-0145.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0145.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0146.wav,12.56,16000,1,2,200960,0.5428466796875,0.10188746452331543,5.327904489794008,0.4061654060509554,0.0,0.12614015794266492,../raw_data/wavs/voice-0146.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0146.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0147.wav,10.16,16000,1,2,162560,0.523529052734375,0.10340389609336853,5.062952872313965,0.4020238681102362,0.0,0.13758081681112705,../raw_data/wavs/voice-0147.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0147.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0148.wav,9.12,16000,1,2,145920,0.5653076171875,0.09872375428676605,5.726155992259298,0.41498766447368424,0.0,0.13867967845174378,../raw_data/wavs/voice-0148.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0148.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0149.wav,9.6,16000,1,2,153600,0.554046630859375,0.09980105608701706,5.5515107012124085,0.4526953125,0.0,0.13393967408641982,../raw_data/wavs/voice-0149.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0149.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0150.wav,6.16,16000,1,2,98560,0.574951171875,0.09964178502559662,5.770181372476445,0.4199472402597403,0.0,0.13434592477602247,../raw_data/wavs/voice-0150.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0150.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0151.wav,10.0,16000,1,2,160000,0.65771484375,0.10530499368906021,6.245808681135013,0.40994375,0.0,0.1279945499659373,../raw_data/wavs/voice-0151.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0151.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0152.wav,5.44,16000,1,2,87040,0.6322021484375,0.10323775559663773,6.123749444026946,0.42818244485294116,0.0,0.13888027206194925,../raw_data/wavs/voice-0152.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0152.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0153.wav,10.32,16000,1,2,165120,0.628814697265625,0.10041331499814987,6.262264095924041,0.44446463178294576,0.0,0.14758446938268763,../raw_data/wavs/voice-0153.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0153.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0154.wav,9.2,16000,1,2,147200,0.534576416015625,0.10924772173166275,4.893250015123119,0.3756182065217391,0.0,0.11496681363324479,../raw_data/wavs/voice-0154.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0154.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0155.wav,10.16,16000,1,2,162560,0.59661865234375,0.10827672481536865,5.510128361945676,0.389185531496063,0.0,0.10492190527746849,../raw_data/wavs/voice-0155.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0155.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0156.wav,10.64,16000,1,2,170240,0.565948486328125,0.10580158978700638,5.349149171269162,0.389203477443609,0.0,0.11511463295719547,../raw_data/wavs/voice-0156.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0156.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0157.wav,7.44,16000,1,2,119040,0.6903076171875,0.10280046612024307,6.715024194346209,0.38079637096774194,0.0,0.10305866144708876,../raw_data/wavs/voice-0157.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0157.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0158.wav,7.84,16000,1,2,125440,0.569793701171875,0.1086316704750061,5.245189535246746,0.39201211734693875,0.0,0.1289471376525642,../raw_data/wavs/voice-0158.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0158.wav
..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0159.wav,11.68,16000,1,2,186880,0.775421142578125,0.10377533733844757,7.472113919024962,0.4802279537671233,0.0,0.15409971157807995,../raw_data/wavs/voice-0159.wav,..\notebooks\finetune-wav2vec2\train_set\wavs\voice-0159.wav
